"name","total_jobs","analyst_jobs","scientist_jobs","machine_learning_jobs","cloud_jobs","software_jobs","other_engineer_jobs"
"Hitachi Vantara","134","38","26","1","5","17","47"
"Palo Alto Networks","134","25","19","7","11","28","44"
"EDF","134","54","33","0","0","1","46"
"Worley","133","59","17","10","27","6","14"
"Etsy","133","14","87","5","0","18","9"
"Fusion Plus Solutions Inc","133","39","28","1","2","5","58"
"Client Server","133","3","37","4","0","8","81"
"Archer - The IT Recruitment Consultancy","133","23","57","4","0","4","45"
"Professional Diversity Network","133","57","49","1","0","0","26"
"IHS Markit","132","53","29","4","1","13","32"
"Labcorp","132","64","54","0","0","0","14"
"Cloudflare","132","23","44","1","4","20","40"
"EON Energie Deutschland","131","46","13","2","0","0","70"
"Dun & Bradstreet","131","26","42","0","0","13","50"
"Orbis","131","8","9","4","0","6","104"
"Apple Inc.","131","12","79","14","1","10","15"
"bp","131","31","21","0","1","12","66"
"Kimberly-Clark","131","85","30","0","1","11","4"
"ASML","131","57","23","1","1","7","42"
"Adobe","131","21","55","2","0","9","44"
"Siemens Healthineers","131","52","38","0","1","4","36"
"Abbott Laboratories","130","60","50","2","2","3","13"
"Takeda Pharmaceutical","130","15","69","1","1","0","44"
"Snaphunt","130","42","21","5","7","22","33"
"King","130","9","81","5","6","10","19"
"ZF Group","129","43","26","5","2","11","42"
"EDWARD JONES","129","89","25","0","0","1","14"
"CVS Pharmacy","129","29","82","2","0","0","16"
"BANCO SANTANDER S.A.","129","69","27","1","0","2","30"
"Deutsche Bundesbank","129","14","90","0","0","6","19"
"Qonto","128","30","69","10","6","3","10"
"Blend360","128","13","71","2","0","2","40"
"Genius Sports","128","36","30","0","3","44","15"
"Digital On Us","128","23","9","3","9","26","58"
"Hopper","128","15","13","14","4","55","27"
"Academic Work","128","59","9","1","4","8","47"
"AirAsia","128","40","59","0","2","7","20"
"Deutsche Bahn","128","24","28","0","0","4","72"
"BlackRock","128","52","15","3","2","9","47"
"Shopify","127","14","85","2","0","3","23"
"Scotiabank","127","19","11","1","1","7","88"
"Appen","127","46","29","5","7","15","25"
"GeekHunter","127","3","0","1","4","23","96"
"BioSpace","127","31","75","0","0","1","20"
"Talent","127","45","21","3","0","5","53"
"Peaple Talent","126","13","38","0","0","3","72"
"Logistics Management Institute","126","20","86","0","0","0","20"
"Bosch Gruppe","126","27","42","2","0","3","52"
"Wolters Kluwer","125","36","64","7","1","5","12"
"Zachary Piper Solutions, LLC","125","21","63","0","1","0","40"
"Alcon","125","36","44","0","0","2","43"
